date,totalcases,newcases,totaldeaths,newdeaths,icupatients,hosppatients,newtests,totaltests,positiverate,totalvaccs,newvaccs,stringencyindex
3/28/2020,125013,19630,2985,674,0,0,122038,1162424,0.146,0,0,72.69
3/27/2020,105383,18690,2311,526,0,0,136299,1040386,0.14,0,0,72.69
3/26/2020,86693,17856,1785,416,0,0,129529,904087,0.133,0,0,72.69
3/25/2020,68837,12082,1369,336,0,0,115037,774558,0.128,0,0,72.69
3/24/2020,56755,10619,1033,241,0,0,104818,659521,0.127,0,0,72.69
3/23/2020,46136,11238,792,189,0,0,80470,554703,0.128,0,0,72.69
3/22/2020,34898,8873,603,128,0,0,74452,474233,0.123,0,0,72.69
3/21/2020,26025,5995,475,103,0,0,76461,399781,0.12,0,0,72.69
3/20/2020,20030,6367,372,106,0,0,76392,323320,0.117,0,0,67.13
3/19/2020,13663,4494,266,72,0,0,60752,246928,0.12,0,0,67.13
3/18/2020,9169,2657,194,60,0,0,50859,186176,0.121,0,0,55.09
3/17/2020,6512,1833,134,37,0,0,40195,135317,0.124,0,0,55.09
3/16/2020,4679,1467,97,27,0,0,27544,95122,0.138,0,0,52.31
3/15/2020,3212,234,70,12,0,0,14428,67578,0.158,0,0,41.2
3/14/2020,2978,759,58,7,0,0,12993,53150,0.146,0,0,35.65
3/13/2020,2219,633,51,8,0,0,11862,40157,0.149,0,0,30.09
3/12/2020,1586,439,43,10,0,0,8962,28295,0.167,0,0,30.09
3/11/2020,1147,365,33,5,0,0,4851,19333,0.186,0,0,21.76
3/10/2020,782,188,28,6,0,0,3477,14482,0.186,0,0,20.37
3/9/2020,594,75,22,1,0,0,2439,11005,0.188,0,0,20.37
3/8/2020,519,116,21,4,0,0,1638,8566,0.168,0,0,20.37
3/7/2020,403,166,17,3,0,0,1799,6928,0.163,0,0,20.37
3/6/2020,237,53,14,2,0,0,1542,5129,0,0,0,20.37
3/5/2020,184,77,12,1,0,0,1217,3587,0,0,0,20.37
3/4/2020,107,33,11,4,0,0,890,2370,0,0,0,11.11
3/3/2020,74,19,7,1,0,0,619,1480,0,0,0,11.11
3/2/2020,55,23,6,5,0,0,513,861,0,0,0,11.11
3/1/2020,32,7,1,0,0,0,348,348,0,0,0,8.33
2/29/2020,25,8,1,1,0,0,0,0,0,0,0,5.56
2/28/2020,17,0,0,0,0,0,0,0,0,0,0,5.56
2/27/2020,17,1,0,0,0,0,0,0,0,0,0,5.56
2/26/2020,16,0,0,0,0,0,0,0,0,0,0,5.56
2/25/2020,16,0,0,0,0,0,0,0,0,0,0,5.56
2/24/2020,16,0,0,0,0,0,0,0,0,0,0,5.56
2/23/2020,16,0,0,0,0,0,0,0,0,0,0,5.56
2/22/2020,16,0,0,0,0,0,0,0,0,0,0,5.56
2/21/2020,16,2,0,0,0,0,0,0,0,0,0,5.56
2/20/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/19/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/18/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/17/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/16/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/15/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/14/2020,14,0,0,0,0,0,0,0,0,0,0,5.56
2/13/2020,14,1,0,0,0,0,0,0,0,0,0,5.56
2/12/2020,13,0,0,0,0,0,0,0,0,0,0,5.56
2/11/2020,13,1,0,0,0,0,0,0,0,0,0,5.56
2/10/2020,12,0,0,0,0,0,0,0,0,0,0,5.56
2/9/2020,12,0,0,0,0,0,0,0,0,0,0,5.56
2/8/2020,12,0,0,0,0,0,0,0,0,0,0,5.56
2/7/2020,12,0,0,0,0,0,0,0,0,0,0,5.56
2/6/2020,12,1,0,0,0,0,0,0,0,0,0,5.56
2/5/2020,11,0,0,0,0,0,0,0,0,0,0,5.56
2/4/2020,11,0,0,0,0,0,0,0,0,0,0,5.56
2/3/2020,11,3,0,0,0,0,0,0,0,0,0,5.56
2/2/2020,8,0,0,0,0,0,0,0,0,0,0,5.56
2/1/2020,8,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,8,2,0,0,0,0,0,0,0,0,0,0
1/30/2020,6,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,6,1,0,0,0,0,0,0,0,0,0,0
1/28/2020,5,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,5,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,5,3,0,0,0,0,0,0,0,0,0,0
1/25/2020,2,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,2,1,0,0,0,0,0,0,0,0,0,0
1/23/2020,1,0,0,0,0,0,0,0,0,0,0,0
